"Id@github","Link@linkedin","Confidence"
"brianmartin","brianmorton","74"
"brainstarr","brianrstarr","78"
"bredfern","bmredfern","74"
"BrianBland","briantbland","82"
"briandang714","briandang714","70"
"briandoll","briandoll","73"
"brianjsykes","brianhsykes","70"
"brianjwoo","brianwoo1","73"
"briankennedy1","briantkennedy","70"
"BrianLoughnane","brianloughnane","70"
"brianmario","brianmario","82"
"brianriley","briangriley","67"
"brianseitel","brianseitel","70"
"BrianSipple","briansipple","82"
"briansoule","briansoule","70"
"briansudo","briansudev","70"
"brianswisher","jbrianswisher","74"
"brianvoss","brian-voss","70"
"bsletten","bsletten","70"
"btford","bcford","70"
"btholt","btholt","78"
"bvaughn","btvaughn","73"
"bwood","bswood","70"
"JBrianGordon","briangordon","70"
"jibrian","jibrian","70"
"elainekmao","elainemao","78"
"elaineo","elaineo","70"
"Haseeb-Qureshi","haseebqureshi","74"
"malmckay","malmckay","74"
"gian","gianp","78"
"kishkaru","kishkaru","70"
"kishore-narendran","kishorenarendran","70"
"jtrenton21","jtrenton","70"
"jimbrowne","jmbrowne","70"
"jimbru","jimbru","78"
"jimfleming","jimmfleming","75"
"jimobrien","jmobrien","74"
"swetland","swetland","70"
